,essay_id,essay_set,essay,Ideas,organization,style,Conventions,total_score,tokens
903,19272,7,"Every year me and my entire family take a trip to @LOCATION2 to the @LOCATION1 beach. Everyone in my family that goes is me, my mom and my dad,(???). my little sister, my three cousins, my aunt and uncle and my grandparents. We all stay in one big hotel together, which usually has @NUM1 bedrooms. Out of the whole year we only stay for two weeks. So I have to be very patient the other three hundred and fifty one days. While we are there we fish for sharks and sting rays, hang out on the beach and swim in the ocean or the pool. So it is absolutely worth the wait. I always have a great time and now I wait patiently for next year.",2,2,2,2,8,148
438,19160,7,"One time when I was patient was when I was in the end of the year in fourth grade and I’d just signed up for football. I had @DATE1 wait from @DATE1. When I got my football pads, I was so excited for football I put them on about four times before football started. @DATE1 passed by and it was @DATE2. In @DATE2 I show cows so that made @DATE2 zip by really fast. Finally it was @DATE1. I only had @DATE1 wait eleven days until the day of my first practice. When the day came, it went by super fast and six p.m. came fast. Then it was time @DATE1 go. I liked football that year and I have did football ever since.It took patience @DATE1 wait for football. Two months @MONTH1 not seem long, but for a ten year old it is hard @DATE1 wait that long.",2,3,2,3,10,191
1230,18023,7,"Supper beast patience I was coming here from school are day on the  going bus so @CAPS1 what felt live  @CAPS2 I finals got have I ran inside I saw my high school bro with a box of pop I asked  blare here did you set the mong  for that is allows need mong . You wouldn’t ques what he said I took it out of ur walles .I yelled what I have ben holding that in there so I could go to the movies. As  I thought with ma ??? @NUM1 sade was friends. So I ren aut vumpt in the arr purched him right in the nose .It starts bleding .I try to run he grass ???. He could real me at each time. But he said I‘ll pay back when he let me so. I thought now he is so patient with me, he could of killed me and he didn’t??? next week he save me ??? back and he last hit me sence .",1,1,1,1,4,204
1127,19510,7,I was at the great wolf loge and we could not go in because some kid poop in the pool and a big part of the pool was brown we could not go in for three hours and it was very boring then we went outside and there was a pool there the hole time.,1,2,2,1,6,57
1258,18717,7,"Patience is a key role in life. If you are not paitent, you will live an unhappy life. Almost everything in life calls for patience. If you are not patient, you will most likely arrous something up like your job if you are not patient with your boss or co- workers. I often have a hard time being patient with my mom and dad. Sometimes I just can’t stand my parents anymore and I lose my temper and become impatient with them and that usually makes things worse for me. I do love my brother but he can get really annoying, like most little brothers and sisters do. When my brother gets on my nerves, I become very impatient with him. Sometimes I will get so mad and impatient with him I will just lose it and I always get in trouble when I beat on him and I would always end up being the bad guy because of my patience. Now that I am older and I realize how important it is to be patient with people, it makes life a whole lot easier and fun with the people. I’m around everyday and that is why when you are patient, you will get your way, but when you are impatient because you are trying to get yor way, it will never happen.",0,2,2,3,7,250
926,19437,7,A time when I was patient was when I was at @CAPS1 @CAPS2 and I was waiting to get on the dragster the line was suppa long. We waited for @NUM1 hours long and we still was in line being patient. Finally we got up there and they said that the ride will be closed   for a while that have to check something and it took them a whole hour for them to fix it. So we went to the other side of the park and we were waiting for the train to come and it came it took the train @NUM2 minutes and when we got to the other side of the park the ride I wanted to get on which was shoot the rapids the line was really long so we waited and waited and finally it was our turn we got on it was fun then when it was over we got back. On the train and went back to the other side. We went back to the dragster then the line was back long and we waited and waited and then it was our turn. That day was the worst day because I had to wait and wait that was my first day that I ever had to hold my patience that long I was about to lose my mind but we had don. And we are going back this @CAPS3.,2,3,1,2,8,261
831,18606,7,One day i spent a night over my bestfriends house for @NUM1 days and ended up going to school with her. Mind you all of my clothes and shoes were over her house still. I wasn’t really able to get my clothes because right after school I went out to eat. I was really angry because I left my @CAPS1 @CAPS2 shoes so I called her and told her to bring them to school.The next day i was really looking foward to getting them and I comforted her about it and she says she forgot so I gave her until the @DATE1 and she still didn’t give them back. Notice I was very patient with her and this was the month of @DATE3. I finally got them back in the month of @DATE2. Finally she gave the back and you will never believe that am still friends with her because my shoes were worn out and dirty but I had to realize that she’s a good friend and im a patient person.,2,3,2,2,9,200
885,19126,7,"One day I was going hunting and I was patiently waiting for my dad to get his clothes on. When he finally did we headed out to the woods. After that we got in a blind, as we patiently waited for fiftyen minutes. Just then a deer came in. It was a perfect doe. Finally the deer gets in front of the blind about @NUM1 or @CAPS1 and my dad quietly says ""wait for it to turn broadside."" @CAPS1 I waited until it turn and shoot the doe. Finally we get out and find my arrow but never found the deer and I had to have patient for next years hunt.",2,2,2,2,8,131
254,19026,7,"Me, I have very little patience. I mean nearly none. When I wait I get this weird feeling, almost like a tooth ache. Weird huh? Well you get the picture, let me tell you a story about when I lost my patience. It was the @DATE1, I was at my @CAPS1 saftey course put on by the @ORGANIZATION1. We had just finished up taking the test that determined success, or failure in the course. They came out with the first group of peoples' names who passed and their certificates. By the way everyone is outside wating. The first group was done @NUM1 minutes. It took about @NUM2 minutes to grade the tests and five to give out the awards. Unfortunately my group was last. We all sat on a bench for three hours! My patience completely were off, I just started rocking back and forth back and forth @CAPS2 my group finally got called up and we got our awards! My patience has thankfully gotten a @CAPS3 better since @CAPS2. I did pass the course and am becoming a good @CAPS1. I 've shot is partridge, and one @NUM3 point buck. That is my story, have a good night!",2,2,2,3,9,258
612,18112,7,"The first time I baby sat was with @NUM1 little girls. A toddler named @PERSON1 and a baby named @CAPS1. After their parents left, everything was fine. That is, @CAPS4 @CAPS1 started crying like crazy. At first, I thought she was saying, “@CAPS3, @CAPS3!” @CAPS4 I realized she was saying, “@CAPS5, @CAPS5!”. Her @CAPS5 is a blanket and when I handed it to her, she stopped immeadiently! Now I realize how patient I was with her. I’m glad I figured out what she wanted. Hopefully, next time I’ll be just as patient.",2,2,2,2,8,151
